File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
eb6c1c10-de4e-4159-a1bb-cecebbbaa124	TCGA-EY-A214-01Z-00-DX1.E5599430-A36B-40BF-83E3-B26D9BC969B3.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EY-A214	TCGA-EY-A214-01Z	Primary Tumor
b4777c55-b881-402b-a7f8-619e7d0a549e	TCGA-AJ-A8CV-01Z-00-DX1.55DF27AD-3DF8-4458-9333-636E403B0ACF.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AJ-A8CV	TCGA-AJ-A8CV-01Z	Primary Tumor
3cea951a-0f21-4a4d-a2e3-4da9955dbd5d	TCGA-BG-A0M9-01Z-00-DX1.D467AF5A-33BE-4855-8410-219BAFDBAFB3.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-BG-A0M9	TCGA-BG-A0M9-01Z	Primary Tumor
4c8d6211-2fac-44ad-b81d-762144f8dccb	TCGA-AJ-A3BK-01Z-00-DX1.A35F188F-43AB-410F-B5F1-DCE8D6669CF0.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AJ-A3BK	TCGA-AJ-A3BK-01Z	Primary Tumor
85e40d78-d7ef-4b5c-9a48-139be8233e76	TCGA-PG-A7D5-01Z-00-DX1.3B12F210-014B-408D-83A9-9D23BD5E306A.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-PG-A7D5	TCGA-PG-A7D5-01Z	Primary Tumor
03e981db-bab8-40d6-b992-f2d17960f0c6	TCGA-AX-A062-01Z-00-DX1.06CB2D3B-62CA-4A05-8B8A-8F70ED875764.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AX-A062	TCGA-AX-A062-01Z	Primary Tumor
84c141ec-ad1c-4a28-9511-f48cba50eeb0	TCGA-D1-A2G5-01Z-00-DX1.55A90DFF-D910-4994-8BD7-7FA8CCB00EB3.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A2G5	TCGA-D1-A2G5-01Z	Primary Tumor
4b0886e9-eebf-4ffb-ac1d-c8c5c67f0081	TCGA-D1-A2G6-01Z-00-DX1.A57A4F81-DE2D-434C-AF88-EAB77DD96FBB.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A2G6	TCGA-D1-A2G6-01Z	Primary Tumor
d3f8ca31-b1f3-4b37-8823-6c386d1def68	TCGA-EO-A22R-01Z-00-DX1.4741D94B-5C0F-467A-A228-7C100A8D97B4.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EO-A22R	TCGA-EO-A22R-01Z	Primary Tumor
b8c1b9d6-5c36-4e38-a385-32bb2e732c88	TCGA-EO-A3B0-01Z-00-DX1.78E81FCB-3B37-4641-9582-F792DF9E1C3D.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EO-A3B0	TCGA-EO-A3B0-01Z	Primary Tumor
82035bd3-2fb4-48bf-88a0-0a5e28fd9381	TCGA-BK-A0CA-01Z-00-DX2.ABEC0908-BE96-4C16-9F34-04ADA70852AD.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-BK-A0CA	TCGA-BK-A0CA-01Z	Primary Tumor
e9a2f2c8-886f-4361-ae6e-10d3b99518ad	TCGA-EY-A1GI-01Z-00-DX1.52F00E05-DD77-4A1A-A4AC-2BACE1275DEF.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EY-A1GI	TCGA-EY-A1GI-01Z	Primary Tumor
438cbed7-4fa2-4781-a86c-a3be78f32f6b	TCGA-D1-A16G-01Z-00-DX1.49007A6B-7858-449F-9233-04D3B3441528.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A16G	TCGA-D1-A16G-01Z	Primary Tumor
78238dfe-69d4-4fb8-8657-1e1bb9121603	TCGA-AP-A1DV-01Z-00-DX1.87B3CD38-6F49-4E51-B6F0-7B270CAEBE83.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A1DV	TCGA-AP-A1DV-01Z	Primary Tumor
